DNN,EFFECTIVE_DATE,EXPIRY_DATE,OUTPUT_DNN
testnrphoneavo1anrz1,20200101000000,20381231235959,nrphone
testnrphonebhm6anrz1,20200101000000,20381231235959,nrphone
testnrphonecrc1anrz1,20200101000000,20381231235959,nrphone
testnrphonefro2bnrz1,20200101000000,20381231235959,nrphone
testnrphoneirv3anrz1,20200101000000,20381231235959,nrphone
testnrphonekgm6anrz1,20200101000000,20381231235959,nrphone
testnrphonelsa4dnrz1,20200101000000,20381231235959,nrphone
testnrphonempl1anrz1,20200101000000,20381231235959,nrphone
testnrphoneslk1bnrz1,20200101000000,20381231235959,nrphone
testnrphonesnc2bnrz1,20200101000000,20381231235959,nrphone
testnrphonetcs1anrz1,20200101000000,20381231235959,nrphone
testnrphoneway2anrz1,20200101000000,20381231235959,nrphone
t3btest.etr,20200101000000,20381231235959,privateRouting5G
testonstarwfdtr1bnrz1,20200101000000,20381231235959,onstarwifi
testonstarihudtr1bnrz1,20200101000000,20381231235959,onstarihu
testonstarwfokc2bnrz1,20200101000000,20381231235959,onstarwifi
testonstarihuokc2bnrz1,20200101000000,20381231235959,onstarihu
testonstarwfakr4anrz1,20200101000000,20381231235959,onstarwifi
testonstarihuakr4anrz1,20200101000000,20381231235959,onstarihu
testonstarwffro2bnrz1,20200101000000,20381231235959,onstarwifi
testonstarihufro2bnrz1,20200101000000,20381231235959,onstarihu
testonstarwfslk1bnrz1,20200101000000,20381231235959,onstarwifi
testonstarihuslk1bnrz1,20200101000000,20381231235959,onstarihu
testonstarwfbhm6anrz1,20200101000000,20381231235959,onstarwifi
testonstarihubhm6anrz1,20200101000000,20381231235959,onstarihu
testonstarwfway2anrz1,20200101000000,20381231235959,onstarwifi
testonstarihuway2anrz1,20200101000000,20381231235959,onstarihu
testonstarwfmpl1anrz1,20200101000000,20381231235959,onstarwifi
testonstarihumpl1anrz1,20200101000000,20381231235959,onstarihu
testonstarwfcrc1anrz1,20200101000000,20381231235959,onstarwifi
testonstarihucrc1anrz1,20200101000000,20381231235959,onstarihu
testonstarwfirv3anrz1,20200101000000,20381231235959,onstarwifi
testonstarihuirv3anrz1,20200101000000,20381231235959,onstarihu
testonstarwfavo1anrz1,20200101000000,20381231235959,onstarwifi
testonstarihuavo1anrz1,20200101000000,20381231235959,onstarihu
testonstarwfalp5cnrz1,20200101000000,20381231235959,onstarwifi
testonstarihualp5cnrz1,20200101000000,20381231235959,onstarihu
testonstarwfkgm6anrz1,20200101000000,20381231235959,onstarwifi
testonstarihukgm6anrz1,20200101000000,20381231235959,onstarihu
testonstarwflsa4dnrz1,20200101000000,20381231235959,onstarwifi
testonstarihulsa4dnrz1,20200101000000,20381231235959,onstarihu
testonstarwfsnc2bnrz1,20200101000000,20381231235959,onstarwifi
testonstarihusnc2bnrz1,20200101000000,20381231235959,onstarihu
testonstarwftcs1anrz1,20200101000000,20381231235959,onstarwifi
testonstarihutcs1anrz1,20200101000000,20381231235959,onstarihu
testonstarwfmin1bnrz1,20200101000000,20381231235959,onstarwifi
testonstarihumin1bnrz1,20200101000000,20381231235959,onstarihu
testonstarwfsna2bnrz1,20200101000000,20381231235959,onstarwifi
testonstarihusna2bnrz1,20200101000000,20381231235959,onstarihu
testonstarwfltr2cnrz1,20200101000000,20381231235959,onstarwifi
testonstarihultr2cnrz1,20200101000000,20381231235959,onstarihu
test5gcbbandalb1cnrz1,20200101000000,20381231235959,5gcbroadband
test5gcbbandatl3fnrz1,20200101000000,20381231235959,5gcbroadband
test5gcbbandclm3anrz1,20200101000000,20381231235959,5gcbroadband
test5gcbbandfrb1anrz1,20200101000000,20381231235959,5gcbroadband
test5gcbbandipl2anrz1,20200101000000,20381231235959,5gcbroadband
test5gcbbandjcv2anrz1,20200101000000,20381231235959,5gcbroadband
test5gcbbandkgm6fnrz1,20200101000000,20381231235959,5gcbroadband
test5gcbbandksc5anrz1,20200101000000,20381231235959,5gcbroadband
test5gcbbandlbc1anrz1,20200101000000,20381231235959,5gcbroadband
